# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jan 14 16:34:50 2026
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2,releasedate
11 Com b,11 Com,1,Radial Velocity,2007,Xinglong Station,0,,,,,93.18460000,1.92380000,-1.92380000,2023-09-19
11 UMi b,11 UMi,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,,,,,125.32100000,1.97650000,-1.97650000,2018-09-06
14 And b,14 And,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,,,,,75.43920000,0.71400000,-0.71400000,2023-09-19
14 Her b,14 Her,1,Radial Velocity,2002,W. M. Keck Observatory,0,,,,,17.93230000,0.00730000,-0.00730000,2023-06-12
16 Cyg B b,16 Cyg B,1,Radial Velocity,1996,Multiple Observatories,0,,,,,21.13970000,0.01100000,-0.01110000,2018-09-06
17 Sco b,17 Sco,1,Radial Velocity,2020,Lick Observatory,0,,,,,124.95300000,2.59000000,-2.59000000,2021-10-25
18 Del b,18 Del,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,,,,,76.22200000,0.62170000,-0.62170000,2023-09-19
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008,Gemini Observatory,0,,,,,139.13500000,1.33200000,-1.30700000,2015-04-01
24 Boo b,24 Boo,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,,,,,95.98630000,0.63685000,-0.63685000,2023-09-19
24 Sex b,24 Sex,1,Radial Velocity,2010,Lick Observatory,0,,,,,72.06910000,0.68540000,-0.67280000,2014-05-14
24 Sex c,24 Sex,1,Radial Velocity,2010,Lick Observatory,0,,,,,72.06910000,0.68540000,-0.67280000,2014-05-14
2M0437 b,2MASS J04372171+2651014,1,Imaging,2021,Subaru Telescope,0,,,,,128.48400000,1.19600000,-1.17400000,2021-12-13
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013,Paranal Observatory,0,,,,,,,,2020-09-03
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013,W. M. Keck Observatory,0,,,,,33.82810000,0.08640000,-0.08600000,2014-05-14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,16.14096000,0.33627000,-0.33627000,0,,,,2015-05-14
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,2018,Mauna Kea Observatory,0,,,,,66.06130000,0.45430000,-0.44820000,2024-05-13
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,117.43500000,2.32000000,-2.23300000,2024-05-08
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010,Hubble Space Telescope,0,,,,,,,,2014-05-14
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,,,,2024-05-08
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,100.86200000,0.60300000,-0.59600000,2024-05-07
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004,Paranal Observatory,0,,,,,64.30800000,0.65690000,-0.64400000,2016-02-25
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,Eclipse Timing Variations,2015,Kepler,0,,,,,396.33200000,6.38850000,-6.38850000,2022-04-19
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,,,,34.11540000,0.08110000,-0.08070000,2024-05-07
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,2016,W. M. Keck Observatory,0,,,,,69.57370000,0.15920000,-0.15850000,2016-11-10
2MASS J22501512+2325342 b,2MASS J22501512+2325342,1,Imaging,2018,The 2 (Two) Micron All Sky Survey (2MASS),0,,,,,57.23090000,0.14370000,-0.14290000,2025-12-04
4 UMa b,4 UMa,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,,,,,73.46030000,1.18605000,-1.18605000,2023-09-19
47 UMa b,47 UMa,1,Radial Velocity,1996,Lick Observatory,0,,,,,13.79670000,0.02890000,-0.02890000,2014-05-14
47 UMa c,47 UMa,1,Radial Velocity,2001,Lick Observatory,0,,,,,13.79670000,0.02890000,-0.02890000,2014-05-14
47 UMa d,47 UMa,1,Radial Velocity,2009,Lick Observatory,0,,,,,13.79670000,0.02890000,-0.02890000,2014-05-14
51 Eri b,51 Eri,1,Imaging,2015,Gemini Observatory,0,,,,,29.75750000,0.12130000,-0.12030000,2025-09-25
51 Peg b,51 Peg,1,Radial Velocity,1995,Haute-Provence Observatory,0,,,,,15.46140000,0.02970000,-0.02970000,2014-05-14
55 Cnc B b,55 Cnc B,1,Radial Velocity,2025,Mauna Kea Observatory,0,,,,,12.47730000,0.01710000,-0.01710000,2025-10-30
55 Cnc B c,55 Cnc B,1,Radial Velocity,2025,Mauna Kea Observatory,0,,,,,12.47730000,0.01710000,-0.01710000,2025-10-30
55 Cnc b,55 Cnc,1,Radial Velocity,1996,Lick Observatory,0,,,,,12.58550000,0.01240000,-0.01230000,2025-10-30
55 Cnc c,55 Cnc,1,Radial Velocity,2004,McDonald Observatory,0,,,,,12.58550000,0.01240000,-0.01230000,2025-10-30
55 Cnc d,55 Cnc,1,Radial Velocity,2002,Lick Observatory,0,,,,,12.58550000,0.01240000,-0.01230000,2025-10-30
55 Cnc e,55 Cnc,1,Radial Velocity,2004,McDonald Observatory,0,1.87500000,0.02900000,-0.02900000,0,12.58550000,0.01240000,-0.01230000,2021-02-11
55 Cnc f,55 Cnc,1,Radial Velocity,2007,Multiple Observatories,0,,,,,12.58550000,0.01240000,-0.01230000,2025-10-30
6 Lyn b,6 Lyn,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,,,,,54.65990000,0.27340000,-0.27340000,2023-09-19
61 Vir b,61 Vir,1,Radial Velocity,2009,Multiple Observatories,0,,,,,8.50332000,0.01737000,-0.01730000,2014-05-14
61 Vir c,61 Vir,1,Radial Velocity,2009,Multiple Observatories,0,,,,,8.50332000,0.01737000,-0.01730000,2014-05-14
61 Vir d,61 Vir,1,Radial Velocity,2009,Multiple Observatories,0,,,,,8.50332000,0.01737000,-0.01730000,2014-05-14
7 CMa b,7 CMa,1,Radial Velocity,2011,Anglo-Australian Telescope,0,,,,,19.81010000,0.16480000,-0.16480000,2019-10-24
7 CMa c,7 CMa,1,Radial Velocity,2019,Multiple Observatories,0,,,,,19.81010000,0.16480000,-0.16480000,2019-10-24
70 Vir b,70 Vir,1,Radial Velocity,1996,Lick Observatory,0,,,,,17.90110000,0.05600000,-0.05570000,2018-12-06
75 Cet b,75 Cet,1,Radial Velocity,2012,Okayama Astrophysical Observatory,0,,,,,82.96130000,0.72365000,-0.72365000,2023-09-19
75 Cet c,75 Cet,1,Radial Velocity,2023,Okayama Astrophysical Observatory,0,,,,,82.96130000,0.72365000,-0.72365000,2023-09-19
8 UMi b,8 UMi,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,,,,,162.55200000,0.65100000,-0.64600000,2025-12-04
81 Cet b,81 Cet,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,,,,,101.26000000,1.22200000,-1.22200000,2023-09-19
91 Aqr b,91 Aqr,1,Radial Velocity,2013,Lick Observatory,0,,,,,44.03040000,0.51325000,-0.51325000,2014-05-14
AB Aur b,AB Aur,1,Imaging,2022,Subaru Telescope,0,,,,,162.12700000,1.52600000,-1.49800000,2022-04-12
AB Pic b,AB Pic,1,Imaging,2005,Paranal Observatory,0,,,,,50.04750000,0.07350000,-0.07330000,2014-05-14
AF Lep b,AF Lep,1,Imaging,2023,Paranal Observatory,0,,,,,26.85640000,0.01890000,-0.01880000,2025-11-20
AT2021ueyL b,AT2021ueyL,1,Microlensing,2025,Multiple Observatories,0,,,,,1040.00000000,740.00000000,-440.00000000,2025-05-07
AU Mic b,AU Mic,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,3.95677019,0.14571675,-0.14571675,0,9.72210000,0.00462500,-0.00462500,2024-09-28
AU Mic c,AU Mic,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,2.52202066,0.24659758,-0.24659758,0,9.72210000,0.00462500,-0.00462500,2024-09-28
AU Mic d,AU Mic,1,Transit Timing Variations,2023,Multiple Observatories,0,,,,,9.72210000,0.00462500,-0.00462500,2024-10-03
AU Mic e,AU Mic,1,Radial Velocity,2025,Mauna Kea Observatory,0,,,,,9.72210000,0.00462500,-0.00462500,2025-10-02
BD+03 2562 b,BD+03 2562,1,Radial Velocity,2017,Multiple Observatories,0,,,,,1070.63000000,63.87500000,-63.87500000,2017-06-15
BD+05 4868 A b,BD+05 4868 A,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),0,,,,,43.56870000,0.09750000,-0.09710000,2025-03-21
BD+14 4559 b,BD+14 4559,1,Radial Velocity,2009,McDonald Observatory,0,,,,,49.35200000,0.08460000,-0.08440000,2018-09-06
BD+15 2375 b,BD+15 2375,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,,,,,768.04500000,45.03800000,-45.03800000,2016-02-04
BD+15 2940 b,BD+15 2940,1,Radial Velocity,2013,McDonald Observatory,0,,,,,426.42000000,6.44000000,-6.44000000,2014-05-14
BD+20 2457 b,BD+20 2457,1,Radial Velocity,2009,McDonald Observatory,0,,,,,1539.71000000,189.92500000,-189.92500000,2014-05-14
BD+20 2457 c,BD+20 2457,1,Radial Velocity,2009,McDonald Observatory,0,,,,,1539.71000000,189.92500000,-189.92500000,2014-05-14
BD+20 274 b,BD+20 274,1,Radial Velocity,2012,McDonald Observatory,0,,,,,1322.51000000,80.53500000,-80.53500000,2015-09-18
BD+20 594 b,BD+20 594,1,Transit,2016,K2,0,2.57807000,0.11209000,-0.11209000,0,179.46100000,1.25700000,-1.24000000,2018-04-26
BD+37 3172 b,BD+37 3172,1,Radial Velocity,2023,McDonald Observatory,0,,,,,454.25100000,4.63850000,-4.63850000,2025-10-30
BD+42 2315 b,BD+42 2315,1,Radial Velocity,2023,McDonald Observatory,0,,,,,610.71500000,14.31100000,-14.31100000,2025-10-30
BD+45 564 b,BD+45 564,1,Radial Velocity,2021,Haute-Provence Observatory,0,,,,,53.62200000,0.19190000,-0.19050000,2021-05-28
BD+48 738 b,BD+48 738,1,Radial Velocity,2011,McDonald Observatory,0,,,,,871.49300000,43.84900000,-43.84900000,2015-08-13
BD+48 740 b,BD+48 740,1,Radial Velocity,2018,Multiple Observatories,0,,,,,666.58900000,21.53350000,-21.53350000,2018-02-01
BD+49 828 b,BD+49 828,1,Radial Velocity,2015,McDonald Observatory,0,,,,,442.04200000,7.65400000,-7.65400000,2015-02-05
BD+55 362 b,BD+55 362,1,Radial Velocity,2021,Haute-Provence Observatory,0,,,,,52.56970000,0.09740000,-0.09710000,2021-05-28
BD+60 1417 b,BD+60 1417,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,14.68376472,0.67253884,-0.67253884,0,44.95430000,0.05930000,-0.05920000,2022-01-10
BD+63 1405 b,BD+63 1405,1,Radial Velocity,2021,Haute-Provence Observatory,0,,,,,38.04730000,0.03290000,-0.03290000,2021-05-28
BD-06 1339 c,BD-06 1339,1,Radial Velocity,2013,La Silla Observatory,0,,,,,20.26950000,0.02200000,-0.02180000,2014-05-14
BD-08 2823 b,BD-08 2823,1,Radial Velocity,2009,La Silla Observatory,0,,,,,41.33420000,0.06850000,-0.06820000,2018-09-06
